Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-05-23 00:00:00-05:00,"11,53","13,37","11,52","12,77",0,"0,00","0,00"
2024-05-24 00:00:00-05:00,"12,86","12,89","11,89","11,93",0,"0,00","0,00"
2024-05-28 00:00:00-05:00,"12,51","13,44","12,36","12,92",0,"0,00","0,00"
2024-05-29 00:00:00-05:00,"13,75","14,32","13,69","14,28",0,"0,00","0,00"
2024-05-30 00:00:00-05:00,"14,82","14,88","13,67","14,47",0,"0,00","0,00"
2024-05-31 00:00:00-05:00,"14,50","14,87","12,84","12,92",0,"0,00","0,00"
2024-06-03 00:00:00-05:00,"13,08","14,31","13,00","13,11",0,"0,00","0,00"
2024-06-04 00:00:00-05:00,"13,51","14,08","13,11","13,16",0,"0,00","0,00"
2024-06-05 00:00:00-05:00,"13,14","13,25","12,60","12,63",0,"0,00","0,00"
2024-06-06 00:00:00-05:00,"12,75","12,98","12,54","12,58",0,"0,00","0,00"
2024-06-07 00:00:00-05:00,"12,69","13,08","12,11","12,22",0,"0,00","0,00"
2024-06-10 00:00:00-05:00,"13,09","13,28","12,62","12,74",0,"0,00","0,00"
2024-06-11 00:00:00-05:00,"12,85","13,47","12,78","12,85",0,"0,00","0,00"
2024-06-12 00:00:00-05:00,"13,10","13,15","11,94","12,04",0,"0,00","0,00"
2024-06-13 00:00:00-05:00,"12,05","12,68","11,88","11,94",0,"0,00","0,00"
2024-06-14 00:00:00-05:00,"12,22","13,45","12,12","12,66",0,"0,00","0,00"
2024-06-17 00:00:00-05:00,"13,07","13,29","12,50","12,75",0,"0,00","0,00"
2024-06-18 00:00:00-05:00,"12,70","12,74","12,24","12,30",0,"0,00","0,00"
2024-06-20 00:00:00-05:00,"12,50","13,55","12,18","13,28",0,"0,00","0,00"
2024-06-21 00:00:00-05:00,"13,22","13,78","12,99","13,20",0,"0,00","0,00"
2024-06-24 00:00:00-05:00,"13,85","13,88","13,15","13,33",0,"0,00","0,00"
2024-06-25 00:00:00-05:00,"13,48","13,52","12,84","12,84",0,"0,00","0,00"
2024-06-26 00:00:00-05:00,"12,81","13,24","12,37","12,55",0,"0,00","0,00"
2024-06-27 00:00:00-05:00,"12,69","12,77","12,21","12,24",0,"0,00","0,00"
2024-06-28 00:00:00-05:00,"12,24","12,76","11,87","12,44",0,"0,00","0,00"
2024-07-01 00:00:00-05:00,"12,98","13,26","12,10","12,22",0,"0,00","0,00"
2024-07-02 00:00:00-05:00,"12,67","12,88","11,85","12,03",0,"0,00","0,00"
2024-07-03 00:00:00-05:00,"12,13","12,23","11,95","12,09",0,"0,00","0,00"
2024-07-05 00:00:00-05:00,"12,37","12,61","11,84","12,48",0,"0,00","0,00"
2024-07-08 00:00:00-05:00,"12,91","12,91","12,31","12,37",0,"0,00","0,00"
2024-07-09 00:00:00-05:00,"12,48","12,61","12,35","12,51",0,"0,00","0,00"
2024-07-10 00:00:00-05:00,"12,51","12,92","12,39","12,85",0,"0,00","0,00"
